# Early Successional Microplot Biomass (Sorted to species)
#
# Original Data Source: https://lter.kbs.msu.edu/datatables/154
# The newest version of the data https://lter.kbs.msu.edu/datatables/154.csv
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/60.eml
#
# These Data are copyrighted and use in a publication requires written permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# sample_date		date of sampling
# species		species observed
# treatment		LTER treatment identifier
# replicate		replicate
# method		the sampling protocol used. "sorted to species" means that the samples were sorted to species and any remaining material is classified as unsorted. "not_sorted" means that no attempt was made to sort and the material is just classified as unsorted.
# disturbed		has the plot been tilled annually (true or false)
# fertilized		has nitrogen fertilizer been applied to the plot (true or false)
# biomass_g_m2	gramsPerSquareMeter	dry biomass measured per square meter
# area_sampled	squareMeter	area that was sampled
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#
#
sample_date,species,treatment,replicate,method,disturbed,fertilized,biomass_g_m2,area_sampled
2014-09-03,Setaria pumila (Poir.) Roem. & Schult,T7,R5,sorted_to_species,disturbed,unfertilized,29.27,1
2014-09-03,UnSorted,T7,R5,sorted_to_species,disturbed,unfertilized,31.8,1
2014-09-03,Setaria faberi Herrm.,T7,R5,sorted_to_species,disturbed,unfertilized,799.6,1
2014-09-03,Panicum dichotomiflorum Michx.,T7,R6,sorted_to_species,disturbed,unfertilized,6.1,1
2014-09-03,Setaria faberi Herrm.,T7,R6,sorted_to_species,disturbed,unfertilized,345.25,1
2014-09-03,Digitaria ischaemum (Schreb. Ex Schweig.) Schreb. ex Muhl.,T7,R6,sorted_to_species,disturbed,unfertilized,62.53,1
2014-09-03,Ambrosia artemisiifolia L.,T7,R6,sorted_to_species,disturbed,unfertilized,49.81,1
2014-09-03,Digitaria sanguinalis (L.) Scop.,T7,R6,sorted_to_species,disturbed,unfertilized,34.86,1
2014-09-03,UnSorted,T7,R6,sorted_to_species,disturbed,unfertilized,34.65,1
2014-09-03,Setaria pumila (Poir.) Roem. & Schult,T7,R6,sorted_to_species,disturbed,unfertilized,22.26,1
2014-09-03,Chenopodium album L.,T7,R6,sorted_to_species,disturbed,unfertilized,7.33,1
2014-09-03,Amaranthus retroflexus L.,T7,R6,sorted_to_species,disturbed,unfertilized,6.35,1
2014-09-03,Portulaca oleracea L.,T7,R6,sorted_to_species,disturbed,fertilized,0.01,1
2014-09-03,Oxalis stricta L.,T7,R6,sorted_to_species,disturbed,fertilized,0.01,1
2014-09-03,Setaria pumila (Poir.) Roem. & Schult,T7,R6,sorted_to_species,disturbed,fertilized,0.02,1
2014-09-03,Erigeron annuus (L.) Pers.,T7,R6,sorted_to_species,disturbed,fertilized,0.34,1
2014-09-03,Surface Litter,T7,R6,sorted_to_species,disturbed,fertilized,1.55,1
2014-09-03,Abutilon theophrasti Medikus,T7,R6,sorted_to_species,disturbed,unfertilized,6.3,1
2014-09-03,Polygonum pensylvanicum L.,T7,R6,sorted_to_species,disturbed,fertilized,1.88,1
2014-09-03,Digitaria ischaemum (Schreb. Ex Schweig.) Schreb. ex Muhl.,T7,R6,sorted_to_species,disturbed,fertilized,2.62,1
2014-09-03,Abutilon theophrasti Medikus,T7,R6,sorted_to_species,disturbed,fertilized,3.4,1
2014-09-03,Digitaria sanguinalis (L.) Scop.,T7,R6,sorted_to_species,disturbed,fertilized,5.32,1
2014-09-03,Chenopodium album L.,T7,R6,sorted_to_species,disturbed,fertilized,30.09,1
2014-09-03,UnSorted,T7,R6,sorted_to_species,disturbed,fertilized,53.12,1
2014-09-03,Ambrosia artemisiifolia L.,T7,R6,sorted_to_species,disturbed,fertilized,67.86,1
2014-09-03,Setaria faberi Herrm.,T7,R6,sorted_to_species,disturbed,fertilized,1015.68,1
2014-09-03,Arabidopsis thaliana (L.) Heynh.,T7,R6,sorted_to_species,disturbed,unfertilized,0.01,1
2014-09-03,Eragrostis cilianensis (All.) E.Mosher,T7,R6,sorted_to_species,disturbed,unfertilized,0.03,1
2014-09-03,Oxalis stricta L.,T7,R6,sorted_to_species,disturbed,unfertilized,0.05,1
2014-09-03,Mollugo verticillata L.,T7,R6,sorted_to_species,disturbed,unfertilized,0.06,1
2014-09-03,Polygonum pensylvanicum L.,T7,R6,sorted_to_species,disturbed,unfertilized,0.1,1
2014-09-03,Erigeron annuus (L.) Pers.,T7,R6,sorted_to_species,disturbed,unfertilized,0.13,1
2014-09-03,Panicum capillare L.,T7,R6,sorted_to_species,disturbed,unfertilized,0.2,1
2014-09-03,Surface Litter,T7,R6,sorted_to_species,disturbed,unfertilized,1.49,1
2014-07-28,Erigeron annuus (L.) Pers.,T7,R1,sorted_to_species,undisturbed,fertilized,0.05,1
2014-07-28,Solidago canadensis L.,T7,R1,sorted_to_species,undisturbed,unfertilized,135.83,1
2014-07-28,Rumex crispus L.,T7,R1,sorted_to_species,undisturbed,fertilized,0.3,1
2014-07-28,Poa pratensis L.,T7,R1,sorted_to_species,undisturbed,fertilized,0.49,1
2014-07-28,Elymus repens (L.) Gould,T7,R1,sorted_to_species,undisturbed,fertilized,0.82,1
2014-07-28,Surface Litter,T7,R1,sorted_to_species,undisturbed,fertilized,26.1,1
2014-07-28,UnSorted,T7,R1,sorted_to_species,undisturbed,fertilized,26.92,1
2014-07-28,Apocynum cannabinum L.,T7,R1,sorted_to_species,undisturbed,fertilized,32.56,1
2014-07-28,Euthamia graminifolia (L.) Nutt.,T7,R1,sorted_to_species,undisturbed,fertilized,42.17,1
2014-07-28,Phleum pratense L.,T7,R1,sorted_to_species,undisturbed,fertilized,71.43,1
2014-07-28,Solidago canadensis L.,T7,R1,sorted_to_species,undisturbed,fertilized,218.59,1
2014-07-28,Bromus inermis Leyss.,T7,R1,sorted_to_species,undisturbed,fertilized,666.1,1
2014-07-28,Ambrosia artemisiifolia L.,T7,R1,sorted_to_species,undisturbed,unfertilized,0.04,1
2014-07-28,Taraxacum officinale Weber in,T7,R1,sorted_to_species,undisturbed,unfertilized,0.05,1
2014-07-28,Elymus repens (L.) Gould,T7,R1,sorted_to_species,undisturbed,unfertilized,0.05,1
2014-07-28,Hypericum perforatum L.,T7,R1,sorted_to_species,undisturbed,unfertilized,0.24,1
2014-07-28,Dianthus armeria L.,T7,R1,sorted_to_species,undisturbed,unfertilized,1.2,1
2014-07-28,Erigeron annuus (L.) Pers.,T7,R1,sorted_to_species,undisturbed,unfertilized,1.6,1
2014-07-28,Trifolium repens L.,T7,R1,sorted_to_species,undisturbed,unfertilized,1.64,1
2014-07-28,Daucus carota L.,T7,R1,sorted_to_species,undisturbed,unfertilized,3.05,1
2014-07-28,Poa compressa L.,T7,R1,sorted_to_species,undisturbed,unfertilized,4.33,1
2014-07-28,Aster pilosus Willd.,T7,R1,sorted_to_species,undisturbed,unfertilized,6.21,1
2014-07-28,Hieracium sp. (*),T7,R1,sorted_to_species,undisturbed,unfertilized,7.26,1
2014-07-28,Poa pratensis L.,T7,R1,sorted_to_species,undisturbed,unfertilized,9.4,1
2014-07-28,Trifolium pratense L.,T7,R1,sorted_to_species,undisturbed,unfertilized,13.93,1
2014-07-28,Surface Litter,T7,R1,sorted_to_species,undisturbed,unfertilized,15.88,1
2014-07-28,UnSorted,T7,R1,sorted_to_species,undisturbed,unfertilized,16.79,1
2014-07-28,Dactylis glomerata L.,T7,R1,sorted_to_species,undisturbed,unfertilized,21.56,1
2014-07-28,Phleum pratense L.,T7,R1,sorted_to_species,undisturbed,unfertilized,23.84,1
2014-07-28,Achillea millefolium L.,T7,R1,sorted_to_species,undisturbed,unfertilized,65.67,1
2014-07-28,Trifolium hybridum L. (*),T7,R1,sorted_to_species,undisturbed,unfertilized,77.26,1
2014-07-28,Centaurea stoebe L. ssp. micranthos (Gugler) Hayek,T7,R1,sorted_to_species,undisturbed,unfertilized,119.39,1
2014-07-28,Aster sagittifolius,T7,R2,sorted_to_species,undisturbed,unfertilized,51.89,1
2014-07-28,Solidago canadensis L.,T7,R2,sorted_to_species,undisturbed,unfertilized,561.77,1
2014-07-28,Rubus allegheniensis T.C. Porter (*),T7,R2,sorted_to_species,undisturbed,unfertilized,102.43,1
2014-07-28,Trifolium pratense L.,T7,R2,sorted_to_species,undisturbed,unfertilized,65.18,1
2014-07-28,Elymus repens (L.) Gould,T7,R2,sorted_to_species,undisturbed,unfertilized,64.74,1
2014-07-28,Euthamia graminifolia (L.) Nutt.,T7,R2,sorted_to_species,undisturbed,unfertilized,41.62,1
2014-07-28,Poa pratensis L.,T7,R2,sorted_to_species,undisturbed,unfertilized,31.89,1
2014-07-28,Surface Litter,T7,R2,sorted_to_species,undisturbed,unfertilized,18.38,1
2014-07-28,UnSorted,T7,R2,sorted_to_species,undisturbed,unfertilized,18.13,1
2014-07-28,Dactylis glomerata L.,T7,R2,sorted_to_species,undisturbed,unfertilized,13.7,1
2014-07-28,Apocynum cannabinum L.,T7,R2,sorted_to_species,undisturbed,unfertilized,7.37,1
2014-07-28,Poa compressa L.,T7,R2,sorted_to_species,undisturbed,unfertilized,6.13,1
2014-07-28,Taraxacum officinale Weber in,T7,R2,sorted_to_species,undisturbed,unfertilized,1.29,1
2014-07-28,Ambrosia artemisiifolia L.,T7,R2,sorted_to_species,undisturbed,unfertilized,0.01,1
2014-07-28,Trifolium repens L.,T7,R2,sorted_to_species,undisturbed,unfertilized,0.01,1
2014-07-28,Phalaris arundinacea L.,T7,R2,sorted_to_species,undisturbed,fertilized,841.99,1
2014-07-28,Solidago canadensis L.,T7,R2,sorted_to_species,undisturbed,fertilized,503.4,1
2014-07-28,Apocynum cannabinum L.,T7,R2,sorted_to_species,undisturbed,fertilized,169.7,1
2014-07-28,Rubus allegheniensis T.C. Porter (*),T7,R2,sorted_to_species,undisturbed,fertilized,62.81,1
2014-07-28,Aster sagittifolius,T7,R2,sorted_to_species,undisturbed,fertilized,41.97,1
2014-07-28,UnSorted,T7,R2,sorted_to_species,undisturbed,fertilized,19.93,1
2014-07-28,Surface Litter,T7,R2,sorted_to_species,undisturbed,fertilized,15.41,1
2014-07-28,Rumex crispus L.,T7,R2,sorted_to_species,undisturbed,fertilized,7.83,1
2014-07-28,Silene alba (Mill.) E.H.L.Krause,T7,R2,sorted_to_species,undisturbed,fertilized,2.89,1
2014-07-28,Bromus inermis Leyss.,T7,R3,sorted_to_species,undisturbed,unfertilized,6.52,1
2014-07-28,Achillea millefolium L.,T7,R3,sorted_to_species,undisturbed,unfertilized,4.26,1
2014-07-28,Hypericum perforatum L.,T7,R3,sorted_to_species,undisturbed,unfertilized,2.06,1
2014-07-28,Juncus tenuis Willd.,T7,R3,sorted_to_species,undisturbed,unfertilized,0.21,1
2014-07-28,Solidago canadensis L.,T7,R3,sorted_to_species,undisturbed,unfertilized,300.53,1
2014-07-28,Trifolium pratense L.,T7,R3,sorted_to_species,undisturbed,unfertilized,327.14,1
2014-07-28,Trifolium hybridum L. (*),T7,R3,sorted_to_species,undisturbed,unfertilized,0.18,1
2014-07-28,Oxalis stricta L.,T7,R3,sorted_to_species,undisturbed,unfertilized,0.02,1
2014-07-28,Solidago canadensis L.,T7,R3,sorted_to_species,undisturbed,fertilized,667.44,1
2014-07-28,Silene alba (Mill.) E.H.L.Krause,T7,R3,sorted_to_species,undisturbed,fertilized,82.92,1
2014-07-28,Asclepias syriaca L.,T7,R3,sorted_to_species,undisturbed,fertilized,73.2,1
2014-07-28,Apocynum cannabinum L.,T7,R3,sorted_to_species,undisturbed,fertilized,73.08,1
2014-07-28,Trifolium pratense L.,T7,R3,sorted_to_species,undisturbed,fertilized,32.3,1
2014-07-28,UnSorted,T7,R3,sorted_to_species,undisturbed,fertilized,23.45,1
2014-07-28,Rumex crispus L.,T7,R3,sorted_to_species,undisturbed,fertilized,15.77,1
2014-07-28,Surface Litter,T7,R3,sorted_to_species,undisturbed,fertilized,14.17,1
2014-07-28,Rubus flagellaris,T7,R3,sorted_to_species,undisturbed,unfertilized,89.73,1
2014-07-28,Poa pratensis L.,T7,R3,sorted_to_species,undisturbed,fertilized,0.52,1
2014-07-28,Trifolium repens L.,T7,R3,sorted_to_species,undisturbed,fertilized,0.18,1
2014-07-28,Unknown dicot (*),T7,R3,sorted_to_species,undisturbed,fertilized,0.04,1
2014-07-28,Taraxacum officinale Weber in,T7,R3,sorted_to_species,undisturbed,fertilized,0.01,1
2014-07-28,Poa compressa L.,T7,R3,sorted_to_species,undisturbed,unfertilized,18.45,1
2014-07-28,UnSorted,T7,R3,sorted_to_species,undisturbed,unfertilized,24.71,1
2014-07-28,Poa pratensis L.,T7,R3,sorted_to_species,undisturbed,unfertilized,38.11,1
2014-07-28,Surface Litter,T7,R3,sorted_to_species,undisturbed,unfertilized,51.23,1
2014-07-28,Apocynum cannabinum L.,T7,R3,sorted_to_species,undisturbed,unfertilized,17.39,1
2014-07-28,Aster sagittifolius,T7,R3,sorted_to_species,undisturbed,unfertilized,15.48,1
2014-07-28,Asclepias syriaca L.,T7,R3,sorted_to_species,undisturbed,unfertilized,6.73,1
2014-07-28,Potentilla norvegica L.,T7,R4,sorted_to_species,undisturbed,fertilized,3.04,1
2014-07-28,Phleum pratense L.,T7,R4,sorted_to_species,undisturbed,unfertilized,355.22,1
2014-07-28,Solidago canadensis L.,T7,R4,sorted_to_species,undisturbed,unfertilized,235.71,1
2014-07-28,Lotus corniculatus L.,T7,R4,sorted_to_species,undisturbed,unfertilized,158.21,1
2014-07-28,Trifolium pratense L.,T7,R4,sorted_to_species,undisturbed,unfertilized,70.79,1
2014-07-28,Asclepias syriaca L.,T7,R4,sorted_to_species,undisturbed,unfertilized,45.77,1
2014-07-28,UnSorted,T7,R4,sorted_to_species,undisturbed,unfertilized,29.11,1
2014-07-28,Surface Litter,T7,R4,sorted_to_species,undisturbed,unfertilized,22.99,1
2014-07-28,Potentilla recta L.,T7,R4,sorted_to_species,undisturbed,unfertilized,8.58,1
2014-07-28,Hypericum perforatum L.,T7,R4,sorted_to_species,undisturbed,unfertilized,2.44,1
2014-07-28,Barbarea vulgaris R. Br.,T7,R4,sorted_to_species,undisturbed,unfertilized,0.81,1
